id_cliente,churn,género,cuidadano_mayor,pareja,dependientes,meses_de_contrato,servicio_telefonico,multiples_lineas_telefonicas,servicio_internet,seguridad_online,respaldo_online,proteccion_del_dispositivo,soporte_tecnico,servicio_tv,servicio_de_peliculas,tipo_de_contrato,factura_en_linea,forma_de_pago,cargos_mensuales,cargos_totales,cuentas_diarias,cantidad_servicios
0019-GFNTW,0,Femenino,0,0,0,56,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Dos años,0,Transferencia bancaria,45.05,2560.1,1.4799605781865963,5
0020-INWCK,0,Femenino,0,1,1,71,1,Yes,Fibra óptica,No,Yes,Yes,No,No,Yes,Dos años,1,Tarjeta de crédito,95.75,6849.4,3.145532194480946,6
0020-JDNXP,0,Femenino,0,1,1,34,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Un año,0,Cheque por correo,61.25,1993.2,2.01215505913272,6
0021-IKXGC,0,Femenino,1,0,0,1,1,Yes,Fibra óptica,No,No,No,No,No,No,Mes a mes,1,Cheque electrónico,72.1,72.1,2.3685939553219444,3
0022-TCJCI,1,Masculino,1,0,0,45,1,No,DSL,Yes,No,Yes,No,No,Yes,Un año,0,Tarjeta de crédito,62.7,2791.5,2.059789750328515,5
0023-HGHWL,1,Masculino,1,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Mes a mes,1,Cheque electrónico,25.1,25.1,0.8245729303547963,1
0023-UYUPN,0,Femenino,1,1,0,50,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,0,Cheque electrónico,25.2,1306.3,0.8278580814717477,2
0023-XUOPT,1,Femenino,0,1,0,13,1,Yes,Fibra óptica,No,Yes,Yes,No,Yes,No,Mes a mes,0,Cheque electrónico,94.1,1215.6,3.0913272010512483,6
0027-KWYKW,0,Femenino,0,1,1,23,1,Yes,Fibra óptica,No,No,No,No,Yes,No,Mes a mes,1,Cheque electrónico,83.75,1849.95,2.7513140604467803,4
0030-FNXPP,0,Femenino,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mes a mes,0,Cheque por correo,19.85,57.2,0.6521024967148489,1
0031-PVLZI,1,Femenino,0,1,1,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mes a mes,0,Cheque por correo,20.35,76.35,0.6685282522996058,1
0032-PGELS,1,Femenino,0,1,1,1,0,No phone service,DSL,Yes,No,No,No,No,No,Mes a mes,0,Transferencia bancaria,30.5,30.5,1.0019710906701709,2
0036-IHMOT,0,Femenino,0,1,1,55,1,No,Fibra óptica,No,Yes,Yes,Yes,Yes,Yes,Un año,1,Transferencia bancaria,103.7,5656.75,3.4067017082785807,7
0040-HALCW,0,Masculino,0,1,1,54,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,0,Tarjeta de crédito,20.4,1090.6,0.6701708278580814,1
0042-JVWOJ,0,Masculino,0,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,1,Transferencia bancaria,19.6,471.85,0.6438896189224704,1
0042-RLHYP,0,Femenino,0,1,1,69,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,0,Transferencia bancaria,19.7,1396.9,0.6471747700394218,1
0047-ZHDTW,1,Femenino,0,0,0,11,1,Yes,Fibra óptica,Yes,No,No,No,No,No,Mes a mes,1,Transferencia bancaria,79.0,929.3,2.59526938239159,4
0048-LUMLS,0,Masculino,0,1,1,37,1,No,Fibra óptica,No,No,No,No,Yes,Yes,Un año,0,Tarjeta de crédito,91.2,3247.55,2.9960578186596583,4
0048-PIHNL,0,Femenino,0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,0,Transferencia bancaria,20.45,900.9,0.6718134034165572,1
0052-DCKON,0,Masculino,0,1,0,66,1,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Un año,0,Transferencia bancaria,115.8,7942.15,3.8042049934296975,9
0052-YNYOT,0,Femenino,0,0,0,67,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,0,Cheque electrónico,20.55,1343.4,0.6750985545335085,1
0056-EPFBG,0,Masculino,0,1,1,20,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,Dos años,1,Tarjeta de crédito,39.4,825.4,1.2943495400788436,4
0057-QBUQH,0,Femenino,0,0,1,43,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,1,Cheque electrónico,25.1,1070.15,0.8245729303547963,2
0058-EVZWM,0,Femenino,0,1,0,55,1,Yes,Fibra óptica,Yes,No,No,No,Yes,No,Mes a mes,1,Transferencia bancaria,89.8,4959.6,2.950065703022339,5
0060-FUALY,0,Femenino,0,1,0,59,1,Yes,Fibra óptica,Yes,Yes,No,No,Yes,No,Mes a mes,1,Cheque electrónico,94.75,5597.65,3.112680683311432,6
0064-SUDOG,0,Femenino,0,1,1,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,0,Transferencia bancaria,20.3,224.5,0.6668856767411301,1
0064-YIJGF,0,Masculino,0,1,1,27,1,Yes,Fibra óptica,No,No,No,No,No,No,Mes a mes,1,Transferencia bancaria,75.75,1929.0,2.48850197109067,3
0067-DKWBL,1,Masculino,1,0,0,2,1,No,DSL,Yes,No,No,No,No,No,Mes a mes,1,Cheque electrónico,49.25,91.1,1.6179369250985545,3
0068-FIGTF,0,Femenino,0,0,0,27,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Un año,0,Cheque por correo,78.2,2078.95,2.568988173455979,7
0071-NDAFP,0,Masculino,0,1,1,25,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,0,Tarjeta de crédito,25.5,630.6,0.8377135348226018,2
0074-HDKDG,0,Masculino,0,1,1,25,1,No,DSL,Yes,Yes,Yes,No,No,No,Un año,1,Transferencia bancaria,61.6,1611.0,2.02365308804205,5
0076-LVEPS,0,Masculino,0,0,1,29,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Mes a mes,1,Cheque por correo,45.0,1242.45,1.4783180026281209,5
0078-XZMHT,0,Masculino,0,1,0,72,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Dos años,1,Transferencia bancaria,85.15,6316.2,2.7973061760841,8
0080-EMYVY,0,Femenino,0,0,0,14,1,No,DSL,No,Yes,No,No,No,No,Un año,0,Tarjeta de crédito,51.45,727.85,1.6902102496714848,3
0080-OROZO,0,Femenino,0,0,0,35,1,No,Fibra óptica,No,No,Yes,Yes,Yes,Yes,Un año,1,Cheque electrónico,99.25,3532.0,3.260512483574244,6
0082-LDZUE,0,Masculino,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Mes a mes,1,Cheque por correo,44.3,44.3,1.455321944809461,2
0082-OQIQY,0,Masculino,0,0,0,29,1,No,Fibra óptica,No,No,No,Yes,Yes,Yes,Mes a mes,1,Cheque electrónico,94.2,2607.6,3.0946123521681996,5
0083-PIVIK,0,Masculino,0,0,0,64,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Un año,0,Cheque electrónico,81.25,5567.55,2.669185282522996,8
0089-IIQKO,0,Femenino,0,1,1,39,1,Yes,Fibra óptica,No,No,No,Yes,Yes,Yes,Mes a mes,1,Tarjeta de crédito,99.95,3767.4,3.283508541392904,6
0093-EXYQL,0,Femenino,1,0,0,40,1,No,Fibra óptica,No,No,No,No,Yes,Yes,Mes a mes,1,Cheque electrónico,91.55,3673.6,3.007555847568988,4
0093-XWZFY,1,Masculino,0,0,0,40,1,Yes,Fibra óptica,No,Yes,Yes,No,Yes,Yes,Mes a mes,1,Tarjeta de crédito,104.5,4036.85,3.4329829172141917,7
0094-OIFMO,1,Femenino,1,0,0,11,1,No,Fibra óptica,No,Yes,No,No,Yes,Yes,Mes a mes,1,Cheque electrónico,95.0,1120.3,3.1208935611038107,5
0096-BXERS,0,Femenino,0,1,0,6,1,Yes,DSL,No,No,No,No,No,No,Mes a mes,0,Cheque electrónico,50.35,314.55,1.6540735873850196,3
0096-FCPUF,0,Masculino,0,0,0,30,1,Yes,DSL,Yes,No,No,No,No,Yes,Mes a mes,1,Cheque por correo,64.5,1888.45,2.11892247043364,5
0098-BOWSO,0,Masculino,0,0,0,27,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mes a mes,1,Cheque electrónico,19.4,529.8,0.6373193166885676,1
0100-DUVFC,0,Masculino,1,1,0,70,1,Yes,Fibra óptica,No,Yes,Yes,No,Yes,Yes,Un año,1,Cheque electrónico,104.8,7308.95,3.442838370565046,7
0103-CSITQ,0,Femenino,0,1,0,57,1,Yes,Fibra óptica,No,Yes,Yes,Yes,Yes,Yes,Un año,1,Transferencia bancaria,109.4,6252.7,3.5939553219448097,8
0104-PPXDV,0,Masculino,0,1,0,58,1,No,DSL,No,No,Yes,No,No,No,Un año,0,Tarjeta de crédito,50.3,2878.55,1.652431011826544,3
0106-GHRQR,0,Masculino,0,0,0,16,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Mes a mes,1,Transferencia bancaria,71.4,1212.1,2.345597897503285,6
0106-UGRDO,0,Femenino,0,1,0,69,1,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dos años,1,Cheque electrónico,116.0,8182.85,3.8107752956636003,9
0107-WESLM,1,Masculino,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mes a mes,1,Cheque electrónico,19.85,19.85,0.6521024967148489,1
0107-YHINA,1,Masculino,0,0,1,1,1,Yes,Fibra óptica,No,No,Yes,No,Yes,Yes,Mes a mes,1,Cheque electrónico,99.75,99.75,3.2769382391590014,6
0111-KLBQG,0,Masculino,1,1,1,32,1,No,Fibra óptica,No,Yes,No,No,Yes,Yes,Mes a mes,1,Cheque por correo,93.95,2861.45,3.0863994743758214,5
0112-QAWRZ,0,Masculino,0,1,1,16,1,Yes,Fibra óptica,No,No,Yes,No,Yes,No,Mes a mes,1,Transferencia bancaria,90.8,1442.2,2.9829172141918527,5
0112-QWPNC,1,Masculino,0,1,0,49,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Un año,0,Cheque electrónico,84.35,4059.35,2.7710249671484886,8
0114-IGABW,0,Femenino,0,1,0,71,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Dos años,0,Transferencia bancaria,58.25,4145.9,1.9136005256241786,6
0114-PEGZZ,0,Femenino,0,0,0,33,1,Yes,Fibra óptica,No,Yes,Yes,No,Yes,Yes,Mes a mes,0,Cheque electrónico,107.55,3645.5,3.5331800262812085,7
0114-RSRRW,0,Femenino,0,1,0,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mes a mes,1,Transferencia bancaria,19.95,187.75,0.6553876478318003,1
0115-TFERT,1,Masculino,0,1,0,21,1,Yes,Fibra óptica,No,Yes,Yes,Yes,Yes,Yes,Mes a mes,1,Cheque electrónico,111.2,2317.1,3.653088042049934,8
0117-LFRMW,1,Masculino,0,1,1,37,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Mes a mes,0,Transferencia bancaria,40.2,1448.8,1.3206307490144547,4
0118-JPNOY,0,Femenino,1,0,0,26,1,No,Fibra óptica,Yes,No,No,No,Yes,No,Mes a mes,1,Tarjeta de crédito,85.8,2193.65,2.818659658344284,4
0120-YZLQA,1,Masculino,0,0,0,71,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,1,Tarjeta de crédito,19.9,1355.1,0.6537450722733245,1
0121-SNYRK,0,Masculino,0,0,0,50,0,No phone service,DSL,Yes,No,No,Yes,No,No,Un año,1,Cheque por correo,35.4,1748.9,1.1629434954007885,3
0122-OAHPZ,1,Femenino,0,0,0,7,1,Yes,Fibra óptica,No,No,No,No,No,No,Mes a mes,1,Cheque electrónico,73.85,511.25,2.4260840998685937,3
0123-CRBRT,0,Femenino,0,1,1,61,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Dos años,0,Cheque por correo,88.1,5526.75,2.894218134034165,9
0125-LZQXK,1,Masculino,0,0,0,15,1,No,Fibra óptica,No,No,Yes,Yes,Yes,Yes,Mes a mes,1,Cheque electrónico,101.35,1553.95,3.329500657030223,6
0128-MKWSG,0,Femenino,0,0,1,26,0,No phone service,DSL,Yes,No,No,Yes,No,Yes,Mes a mes,0,Cheque por correo,45.8,1147.0,1.5045992115637317,4
0129-KPTWJ,0,Masculino,0,1,0,72,1,No,Fibra óptica,No,No,Yes,No,Yes,Yes,Mes a mes,1,Cheque electrónico,94.65,6747.35,3.109395532194481,5
0129-QMPDR,0,Masculino,0,1,1,44,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,1,Transferencia bancaria,20.5,865.05,0.6734559789750328,1
0130-SXOUN,0,Masculino,0,0,0,66,1,Yes,Fibra óptica,No,Yes,No,No,No,Yes,Mes a mes,0,Tarjeta de crédito,89.4,5976.9,2.9369250985545334,5
0133-BMFZO,1,Femenino,0,0,0,2,1,No,Fibra óptica,Yes,Yes,No,Yes,No,No,Mes a mes,1,Cheque electrónico,86.25,181.65,2.8334428383705648,5
0134-XWXCE,0,Femenino,1,0,0,44,1,No,DSL,No,No,Yes,Yes,Yes,Yes,Un año,0,Transferencia bancaria,74.85,3268.05,2.4589356110381075,6
0135-NMXAP,1,Femenino,0,0,0,12,1,Yes,Fibra óptica,No,Yes,No,No,Yes,No,Mes a mes,1,Transferencia bancaria,89.75,1052.4,2.948423127463863,5
0136-IFMYD,0,Masculino,1,1,0,69,1,Yes,Fibra óptica,No,Yes,Yes,Yes,Yes,Yes,Dos años,1,Cheque electrónico,109.95,7634.25,3.612023653088042,8
0137-OCGAB,1,Femenino,0,0,0,1,1,Yes,Fibra óptica,No,Yes,No,No,No,No,Mes a mes,1,Cheque por correo,80.2,80.2,2.6346911957950065,4
0137-UDEUO,1,Femenino,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mes a mes,0,Cheque por correo,19.85,63.75,0.6521024967148489,1
0139-IVFJG,0,Femenino,0,1,0,2,1,No,Fibra óptica,Yes,Yes,No,No,Yes,No,Mes a mes,0,Cheque electrónico,90.35,190.5,2.9681340341655713,5
0141-YEAYS,0,Femenino,1,0,0,27,1,Yes,Fibra óptica,No,Yes,Yes,No,No,No,Mes a mes,1,Transferencia bancaria,86.45,2401.05,2.840013140604468,5
0142-GVYSN,0,Masculino,0,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mes a mes,1,Cheque electrónico,20.3,511.25,0.6668856767411301,1
0147-ESWWR,0,Femenino,1,1,0,39,1,Yes,Fibra óptica,No,No,No,Yes,Yes,Yes,Mes a mes,1,Cheque electrónico,101.25,3949.15,3.326215505913272,6
0148-DCDOS,1,Masculino,0,0,0,25,1,Yes,Fibra óptica,No,No,No,No,Yes,Yes,Mes a mes,1,Transferencia bancaria,94.7,2362.1,3.1110381077529565,5
0151-ONTOV,1,Femenino,0,0,0,1,1,No,Fibra óptica,No,No,No,No,No,No,Mes a mes,0,Cheque por correo,70.9,70.9,2.3291721419185283,2
0154-QYHJU,1,Masculino,0,0,0,29,1,No,DSL,Yes,Yes,No,Yes,No,No,Un año,1,Cheque electrónico,58.75,1696.2,1.9300262812089355,5
0156-FVPTA,1,Masculino,0,1,0,22,1,No,DSL,Yes,No,No,Yes,No,No,Mes a mes,1,Cheque electrónico,54.2,1152.7,1.780551905387648,4
0162-RZGMZ,1,Femenino,1,0,0,5,1,No,DSL,Yes,Yes,No,Yes,No,No,Mes a mes,0,Tarjeta de crédito,59.9,287.85,1.9678055190538764,5
0164-APGRB,0,Femenino,0,0,0,72,1,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dos años,1,Cheque electrónico,114.9,8496.7,3.7746386333771356,9
0164-XAIRP,0,Femenino,0,0,0,24,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,1,Transferencia bancaria,19.55,470.2,0.6422470433639947,1
0168-XZKBB,0,Femenino,0,1,0,19,1,Yes,Fibra óptica,No,No,No,No,Yes,No,Mes a mes,1,Cheque electrónico,86.85,1564.4,2.853153745072273,4
0174-QRVVY,0,Masculino,0,1,1,71,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,0,Tarjeta de crédito,25.35,1847.55,0.8327858081471747,2
0177-PXBAT,0,Masculino,1,1,0,33,1,Yes,Fibra óptica,Yes,No,Yes,Yes,Yes,Yes,Mes a mes,1,Transferencia bancaria,109.9,3694.7,3.6103810775295666,8
0178-CIIKR,0,Femenino,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mes a mes,0,Cheque por correo,19.95,58.0,0.6553876478318003,1
0178-SZBHO,0,Masculino,0,1,1,47,1,Yes,Fibra óptica,No,Yes,No,No,Yes,No,Mes a mes,0,Cheque electrónico,87.2,4017.45,2.864651773981603,5
0181-RITDD,0,Masculino,0,1,1,62,1,No,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dos años,0,Cheque por correo,108.15,6825.65,3.5528909329829172,8
0186-CAERR,0,Masculino,0,0,0,71,1,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Un año,1,Transferencia bancaria,116.3,8309.55,3.8206307490144544,9
0187-QSXOE,0,Masculino,1,1,0,7,1,No,Fibra óptica,No,No,No,No,Yes,Yes,Mes a mes,1,Cheque electrónico,89.0,605.45,2.923784494086728,4
0187-WZNAB,0,Femenino,0,1,1,27,1,No,Fibra óptica,Yes,No,No,No,No,No,Mes a mes,0,Cheque por correo,74.4,1972.35,2.4441524310118266,3
0188-GWFLE,0,Masculino,0,0,0,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mes a mes,0,Cheque por correo,20.05,33.7,0.6586727989487516,1
0191-EQUUH,0,Femenino,0,0,1,25,0,No phone service,DSL,Yes,No,No,Yes,No,No,Dos años,0,Transferencia bancaria,35.05,844.45,1.1514454664914584,3
0191-ZHSKZ,0,Masculino,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Mes a mes,1,Cheque electrónico,74.75,2111.3,2.455650459921156,6
0193-ESZXP,1,Femenino,1,1,0,58,1,No,Fibra óptica,Yes,Yes,No,Yes,Yes,Yes,Un año,1,Tarjeta de crédito,105.5,6205.5,3.4658344283837055,7
0195-IESCP,1,Masculino,0,1,0,10,1,Yes,Fibra óptica,No,No,No,No,No,Yes,Mes a mes,1,Cheque electrónico,85.25,855.3,2.800591327201051,4
0196-JTUQI,0,Femenino,0,0,0,9,1,Yes,Fibra óptica,No,No,No,No,No,No,Mes a mes,1,Tarjeta de crédito,75.2,633.85,2.4704336399474376,3
0196-VULGZ,1,Femenino,1,1,0,6,1,Yes,Fibra óptica,No,No,No,No,No,Yes,Mes a mes,1,Cheque electrónico,84.35,474.9,2.7710249671484886,4
0197-PNKNK,0,Femenino,0,1,1,69,1,Yes,Fibra óptica,Yes,No,Yes,No,No,No,Un año,0,Transferencia bancaria,84.45,5848.6,2.7743101182654404,5
0201-MIBOL,0,Femenino,1,0,0,66,1,Yes,Fibra óptica,Yes,No,No,No,Yes,Yes,Dos años,1,Transferencia bancaria,102.4,6471.85,3.3639947437582127,6
0201-OAMXR,1,Femenino,0,0,0,70,1,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Un año,0,Tarjeta de crédito,115.55,8127.6,3.795992115637319,9
0203-HHYIJ,1,Masculino,0,0,0,25,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,0,Transferencia bancaria,25.3,676.35,0.831143232588699,2
0206-OYVOC,0,Femenino,0,1,1,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,1,Cheque por correo,19.25,864.2,0.6323915900131406,1
0206-TBWLC,0,Femenino,0,1,0,54,1,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Un año,1,Cheque por correo,114.65,6049.5,3.766425755584757,9
0207-MDKNV,1,Femenino,0,0,0,15,1,No,Fibra óptica,Yes,No,Yes,Yes,Yes,Yes,Mes a mes,0,Cheque electrónico,105.1,1582.75,3.4526938239159,7
0208-BPQEJ,0,Femenino,0,1,1,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mes a mes,0,Transferencia bancaria,19.4,198.1,0.6373193166885676,1
0212-ISBBF,0,Femenino,0,0,0,22,0,No phone service,DSL,No,Yes,No,No,Yes,Yes,Mes a mes,1,Cheque electrónico,50.35,1098.85,1.6540735873850196,4
0214-JHPFW,0,Femenino,0,1,0,70,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Dos años,0,Transferencia bancaria,57.8,4039.3,1.8988173455978974,6
0215-BQKGS,0,Masculino,0,0,0,30,1,No,Fibra óptica,Yes,Yes,Yes,No,No,No,Mes a mes,1,Tarjeta de crédito,84.3,2438.6,2.769382391590013,5
0218-QNVAS,0,Masculino,0,1,1,71,1,Yes,Fibra óptica,No,Yes,No,No,Yes,Yes,Un año,0,Transferencia bancaria,100.55,7113.75,3.303219448094612,6
0219-QAERP,0,Masculino,0,1,0,30,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,0,Tarjeta de crédito,19.8,576.65,0.6504599211563732,1
0219-YTZUE,1,Masculino,0,1,1,4,1,Yes,Fibra óptica,No,Yes,Yes,No,No,No,Mes a mes,1,Transferencia bancaria,84.8,371.9,2.78580814717477,5
0220-EBGCE,1,Masculino,0,0,0,2,1,No,Fibra óptica,No,No,Yes,No,No,Yes,Mes a mes,1,Cheque electrónico,85.85,167.3,2.8203022339027592,4
0221-NAUXK,0,Masculino,0,0,1,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,1,Transferencia bancaria,19.95,219.5,0.6553876478318003,1
0221-WMXNQ,0,Masculino,1,0,0,4,1,No,Fibra óptica,Yes,No,No,No,No,No,Mes a mes,0,Cheque electrónico,75.35,273.4,2.4753613666228644,3
0222-CNVPT,0,Masculino,1,0,0,52,0,No phone service,DSL,Yes,No,No,No,Yes,Yes,Mes a mes,1,Tarjeta de crédito,48.8,2555.05,1.6031537450722733,4
0224-HJAPT,1,Masculino,0,0,0,5,1,Yes,DSL,No,No,No,No,No,No,Mes a mes,0,Cheque electrónico,47.15,223.15,1.5489487516425755,3
0224-NIJLP,0,Masculino,0,1,1,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,0,Cheque por correo,20.15,165.5,0.6619579500657029,1
0224-RLWWD,0,Femenino,1,0,0,2,1,No,DSL,No,No,No,No,No,No,Mes a mes,1,Cheque electrónico,44.3,89.3,1.455321944809461,2
0225-ZORZP,0,Masculino,0,0,0,3,1,No,Fibra óptica,No,Yes,No,No,No,Yes,Mes a mes,0,Cheque electrónico,84.3,235.05,2.769382391590013,4
0228-MAUWC,0,Masculino,0,0,0,19,1,Yes,DSL,No,No,Yes,Yes,No,No,Mes a mes,0,Cheque electrónico,59.55,1144.6,1.9563074901445465,5
0229-LFJAF,0,Masculino,0,0,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Dos años,0,Transferencia bancaria,69.65,4908.25,2.2881077529566363,7
0230-UBYPQ,0,Masculino,1,1,0,63,0,No phone service,DSL,Yes,No,No,Yes,No,No,Un año,0,Transferencia bancaria,36.1,2298.9,1.185939553219448,3
0230-WEQUW,0,Masculino,0,1,0,66,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Dos años,1,Transferencia bancaria,56.6,3789.2,1.8593955321944808,6
0231-LXVAP,1,Masculino,0,0,0,1,1,No,Fibra óptica,No,No,No,Yes,No,No,Mes a mes,1,Cheque electrónico,75.9,75.9,2.4934296977660972,3
0233-FTHAV,0,Femenino,0,0,0,60,1,Yes,Fibra óptica,No,No,Yes,No,No,No,Un año,1,Transferencia bancaria,79.2,4765.0,2.6018396846254928,4
0234-TEVTT,0,Femenino,0,1,1,48,0,No phone service,DSL,Yes,No,Yes,No,No,Yes,Un año,0,Tarjeta de crédito,45.0,2196.3,1.4783180026281209,4
0235-KGSLC,1,Femenino,0,0,0,1,1,No,Fibra óptica,No,No,Yes,No,Yes,No,Mes a mes,1,Tarjeta de crédito,85.55,85.55,2.810446780551905,4
0236-HFWSV,1,Masculino,0,0,0,15,1,Yes,Fibra óptica,No,No,No,No,Yes,Yes,Mes a mes,1,Cheque electrónico,93.35,1444.65,3.0666885676741127,5
